Date,Open,High,Low,Close,Volume
2004-08-20,50.79,54.59,50.3,54.21,11429498
2004-08-23,55.43,56.8,54.58,54.75,9140244
2004-08-24,55.67,55.85,51.84,52.49,7632224
2004-08-25,52.53,54.05,51.99,53.05,4599110
2004-08-26,52.53,54.03,52.38,54.01,3551168
2004-08-27,54.1,54.36,52.9,53.13,3108977
2004-08-30,52.8,52.8,51.05,51.05,2601620
2004-08-31,51.21,51.91,51.13,51.23,2463427
2004-09-01,51.4,51.53,49.88,50.17,4574578
2004-09-02,49.59,51.23,49.52,50.8,7567013
2004-09-03,50.52,50.92,49.71,50.05,2578705
2004-09-07,50.55,51.05,49.85,50.84,2927073
2004-09-08,50.42,51.56,50.3,51.2,2495226
2004-09-09,51.3,51.4,50.55,51.2,2032853
2004-09-10,50.85,53.33,50.7,52.72,4353885
2004-09-13,53.37,54.26,53.28,53.8,3927322
2004-09-14,53.77,56.05,53.45,55.8,5488357
2004-09-15,55.33,57.17,55.15,56.05,5362452
2004-09-16,56.22,57.96,55.88,57.04,4637786
2004-09-17,57.27,58.8,56.83,58.8,4748627
2004-09-20,58.53,60.86,58.44,59.74,5332562
2004-09-21,60.16,60.27,58.81,58.98,3617903
2004-09-22,58.78,59.89,58.46,59.25,3794393
2004-09-23,59.48,61.37,58.57,60.47,4273082
2004-09-24,60.54,62.11,59.94,59.97,4566707
2004-09-27,59.84,60.5,58.96,59.19,3536818
2004-09-28,60.63,63.76,60.16,63.49,8476027
2004-09-29,63.38,67.58,63.18,65.6,15274991
2004-09-30,65.01,66.21,64.56,64.86,6890125
2004-10-01,65.46,67.19,64.51,66.35,7571329
2004-10-04,67.98,68.5,67.08,67.6,6541875
2004-10-05,67.4,69.33,66.18,69.25,7507251
2004-10-06,68.9,69.29,68.07,68.61,6699883
2004-10-07,68.35,70.01,68.34,69.49,7066873
2004-10-08,69.43,69.91,68.58,68.93,5543874
2004-10-11,68.57,69.5,66.99,67.7,5249263
2004-10-12,67.31,68.87,66.76,68.77,5920143
2004-10-13,71.73,71.84,70.11,70.52,9894833
2004-10-14,70.58,71.26,69.35,71.07,5234304
2004-10-15,72.55,72.82,71.04,72.12,6604448
2004-10-18,71.67,74.67,70.67,74.65,7032780
2004-10-19,75.32,76.27,73.75,74.04,9069401
2004-10-20,74.04,74.57,69.87,70.31,11389627
2004-10-21,72.13,75.14,70.88,74.76,14998000
2004-10-22,85.3,90.17,82.12,86.3,36919840
2004-10-25,88.23,97.31,86.36,93.79,32775276
2004-10-26,93.31,96.41,90.09,90.99,22313860
2004-10-27,91.23,94.85,90.97,93.08,13373482
2004-10-28,93.41,97.29,92.89,96.74,14856604
2004-10-29,99.53,100.07,95.39,95.41,21183466
2004-11-01,96.84,98.93,95.73,98.11,12233618
2004-11-02,99.46,99.72,96.76,97.53,11365995
2004-11-03,99.19,100.9,95.47,95.93,13897606
2004-11-04,94.22,95.29,91.76,92.44,14474388
2004-11-05,91.09,91.24,84.36,84.76,19852002
2004-11-08,85.55,87.81,84.78,86.36,11200077
2004-11-09,87.13,87.68,82.72,84.43,11160536
2004-11-10,85.42,86.34,83.25,84.01,10651413
2004-11-11,84.65,91.96,83.87,91.6,15023209
2004-11-12,92.7,94.99,88.79,91.09,16746068
2004-11-15,90.31,94.25,89.46,92.52,11901512
2004-11-16,88.84,89.82,85.5,86.36,20928808
2004-11-17,84.59,88.84,84.58,86.33,18137868
2004-11-18,85.28,87.29,82.95,83.85,16633270
2004-11-19,84.61,85.07,83.34,84.78,8816609
2004-11-22,84.4,84.83,80.73,82.63,12372104
2004-11-23,84.04,85.5,83.33,83.84,12426573
2004-11-24,87.5,88.69,86.34,87.46,15290473
2004-11-26,87.99,90.1,87.75,89.78,6480025
2004-11-29,90.21,91.56,88.84,90.61,10669849
2004-11-30,90.44,91.59,90.21,91.08,7745574
2004-12-01,90.97,91.34,89.86,90.07,7868147
2004-12-02,90.04,90.84,89.36,89.79,6270626
2004-12-03,90.03,90.62,88.89,90.29,5873733
2004-12-06,89.65,90.44,88.1,88.23,6257535
2004-12-07,88.09,88.19,85.36,85.8,6872138
2004-12-08,85.37,86.92,84.45,85.07,7542204
2004-12-09,85.21,86.83,84.32,86.8,7654902
2004-12-10,86.8,87.52,85.73,85.91,4320465
2004-12-13,86.1,86.67,84.81,85.31,4818789
2004-12-14,85.58,89.5,84.88,89.43,11102401
2004-12-15,89.08,90.43,88.42,89.98,11545863
2004-12-16,88.7,90.33,88.06,88.32,8577261
2004-12-17,88.47,90.34,88.36,90.13,7417654
2004-12-20,91.09,94.32,91.02,92.6,9822191
2004-12-21,93.23,94.03,91.79,91.96,5524667
2004-12-22,92.04,93.52,91.59,93.24,3910203
2004-12-23,93.82,94.39,93.09,94.04,3615676
2004-12-27,94.67,96.74,94.64,96.05,6105595
2004-12-28,96.15,96.87,95.6,96.47,4148098
2004-12-29,96.08,96.85,95.98,96.54,2679281
2004-12-30,96.58,99.21,96.02,98.9,5904978
2004-12-31,99.71,100.04,96.37,96.49,7677229
2005-01-03,98.8,101.92,97.82,101.45,15860692
2005-01-04,100.76,101.56,96.83,97.34,13762396
2005-01-05,96.82,98.55,96.21,96.85,8239545
2005-01-06,97.72,98.05,93.95,94.37,10389803
